iteration,total_runs,obs_realization,par_realization,head
0,50,0,0,2.36702
0,50,1,1,0.152578
0,50,2,2,0.508084
0,50,3,3,0.435365
0,50,4,4,1.1105
0,50,5,5,1.39189
0,50,6,6,2.60763
0,50,7,7,0.228469
0,50,8,8,0.276005
0,50,9,9,0.644264
0,50,10,10,1.2973
0,50,11,11,1.37384
0,50,12,12,0.299741
0,50,13,13,1.52778
0,50,14,14,1.50936
0,50,15,15,0.65585
0,50,16,16,0.713441
0,50,17,17,1.31614
0,50,18,18,2.41953
0,50,19,19,0.524882
0,50,20,20,0.115058
0,50,21,21,0.015661
0,50,22,22,1.94846
0,50,23,23,0.00986
0,50,24,24,0.067609
0,50,25,25,0.014357
0,50,26,26,0.505069
0,50,27,27,22.0236
0,50,28,28,0.111537
0,50,29,29,0.722738
0,50,30,30,1.81738
0,50,31,31,14.9913
0,50,32,32,0.399794
0,50,33,33,0.600813
0,50,34,34,0.741493
0,50,35,35,0.154512
0,50,36,36,0.638152
0,50,37,37,0.575114
0,50,38,38,11.2294
0,50,39,39,1.89325
0,50,40,40,0.149896
0,50,41,41,0.43997
0,50,42,42,0.048481
0,50,43,43,1.88407
0,50,44,44,1.05453
0,50,45,45,0.863432
0,50,46,46,15.3232
0,50,47,47,0.03112
0,50,48,48,0.316625
0,50,base,base,0.5
1,140,1,1,0.131464
1,140,2,2,0.659261
1,140,3,3,0.246545
1,140,4,4,0.724978
1,140,5,5,1.11548
1,140,6,6,0.16633
1,140,7,7,0.426473
1,140,8,8,0.57322
1,140,9,9,0.362933
1,140,10,10,1.55581
1,140,11,11,0.998225
1,140,12,12,0.092045
1,140,13,13,1.37238
1,140,14,14,0.66245
1,140,15,15,0.214497
1,140,16,16,0.669776
1,140,17,17,0.712801
1,140,18,18,2.12576
1,140,19,19,0.466618
1,140,20,20,0.901377
1,140,21,21,0.054085
1,140,22,22,0.755792
1,140,23,23,0.022312
1,140,24,24,0.005978
1,140,25,25,0.00904
1,140,26,26,0.114941
1,140,27,27,1.51684
1,140,28,28,0.013985
1,140,29,29,0.567845
1,140,30,30,1.60461
1,140,31,31,2.89138
1,140,32,32,0.492929
1,140,33,33,0.313664
1,140,34,34,0.721874
1,140,35,35,0.15805
1,140,36,36,0.730084
1,140,37,37,0.191725
1,140,38,38,4.20176
1,140,39,39,1.78693
1,140,40,40,0.079637
1,140,41,41,0.420642
1,140,42,42,0.045797
1,140,43,43,1.18388
1,140,44,44,1.1488
1,140,45,45,0.793645
1,140,46,46,2.72416
1,140,47,47,0.053069
1,140,48,48,0.418778
2,190,0,0,2.82308
2,190,1,1,0.294365
2,190,2,2,0.079985
2,190,3,3,2.84954
2,190,4,4,0.544585
2,190,5,5,0.310509
2,190,6,6,9.50792
2,190,7,7,0.599465
2,190,8,8,0.31501
2,190,9,9,0.208017
2,190,10,10,6.65572
2,190,11,11,4.45235
2,190,12,12,6.28295
2,190,13,13,4.18216
2,190,14,14,11.5081
2,190,15,15,0.560138
2,190,16,16,0.351508
2,190,17,17,2.60014
2,190,18,18,4.79159
2,190,19,19,5.61638
2,190,20,20,0.057896
2,190,21,21,1.57103
2,190,22,22,2.64602
2,190,23,23,1.71815
2,190,24,24,1.21482
2,190,25,25,0.139581
2,190,26,26,4.04419
2,190,27,27,31.0461
2,190,28,28,5.80167
2,190,29,29,0.053885
2,190,30,30,1.1492
2,190,31,31,12.5454
2,190,32,32,0.096616
2,190,33,33,0.20241
2,190,34,34,1.34033
2,190,35,35,0.201321
2,190,36,36,0.048082
2,190,37,37,0.036522
2,190,38,38,25.5457
2,190,39,39,1.72362
2,190,40,40,0.092365
2,190,41,41,0.731105
2,190,42,42,0.460665
